id;ip;port_http;port_socks5;username;password;internal_ip
1128138;35.156.148.115;46146;48707;abc12def;hIjKlMNop;
1128137;295.208.56.122;49380;36804;abc12def;hIjKlMNop;
1128136;41.188.245.204;46597;39119;abc12def;hIjKlMNop;
1128135;35.93.80.25;47282;37060;abc12def;hIjKlMNop;
1128134;35.94.23.37;44547;24217;abc12def;hIjKlMNop;
1128133;35.92.172.188;40734;43530;abc12def;hIjKlMNop;
1128132;81.188.231.148;46094;36469;abc12def;hIjKlMNop;
1128131;35.147.14.110;45080;54796;abc12def;hIjKlMNop;
1128130;35.135.177.216;46656;46527;abc12def;hIjKlMNop;
1128129;31.199.112.34;45223;46316;abc12def;hIjKlMNop;
